token	lemma	POS	morph	treated
quant	cant1	CONsub	MORPH=empty	quant
t'	tu	PROper	PERS.=2|NOMB.=s|GENRE=m|CAS=r	t
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	ai
feru	ferir	VERppe	NOMB.=s|GENRE=m|CAS=r	feru
,	,	PONfbl	MORPH=empty	,
se	se	CONsub	MORPH=empty	se
Dex	Dieu	NOMpro	NOMB.=s|GENRE=m|CAS=n	Dex
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	me
voie	vëoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=2|NOMB.=s	voie
;	;	PONfbl	MORPH=empty	;
mes	mais1	CONcoo	MORPH=empty	mes
tu	tu	PROper	PERS.=2|NOMB.=s|GENRE=m|CAS=n	tu
deïs	dire	VERcjg	MODE=ind|TEMPS=psp|PERS.=2|NOMB.=s	deïs
grant	grant	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	grant
musardie	musardie	NOMcom	NOMB.=s|GENRE=f|CAS=r	musardie
.	.	PONfrt	MORPH=empty	.
-	-	PONfbl	MORPH=empty	-
Or	or4	ADVgen	DEGRE=-	Or
ne	ne1	ADVneg	MORPH=empty	ne
leirai	laiier2	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s	leirai
,	,	PONfbl	MORPH=empty	,
fet	faire	VERppe	NOMB.=s|CAS=r	fet
cil	cel	PROdem	NOMB.=s|GENRE=m|CAS=n	cil
,	,	PONfbl	MORPH=empty	,
nel	ne1+il	ADVneg.PROper	PERS.=3|NOMB.=s|GENRE=n|CAS=r	nel
die	dire	VERcjg	MODE=sub|TEMPS=pst|PERS.=1|NOMB.=s	die
quel	quel1	DETrel	NOMB.=s|GENRE=f|CAS=r	quel
desserte	deserte2	NOMcom	NOMB.=s|GENRE=f|CAS=r	desserte
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n	vos
en	en2	PROadv	MORPH=empty	en
avroiz	avoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=2|NOMB.=p	avroiz
.	.	PONfrt	MORPH=empty	.
Le	le	DETdef	NOMB.=s|GENRE=m|CAS=r	Le
poing	poing	NOMcom	NOMB.=s|GENRE=m|CAS=r	poing
et	et	CONcoo	MORPH=empty	et
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r	le
braz	braz	NOMcom	NOMB.=s|GENRE=m|CAS=r	braz
an	en2	PROadv	MORPH=empty	an
perdroiz	perdre	VERcjg	MODE=ind|TEMPS=fut|PERS.=2|NOMB.=p	perdroiz
don	dont	PROrel	GENRE=m|CAS=i	don
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n	vos
m'	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	m
avez	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p	avez
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r	le
cop	coup1	NOMcom	NOMB.=s|GENRE=m|CAS=r	cop
doné	doner	VERppe	NOMB.=s|GENRE=m|CAS=r	doné
,	,	PONfbl	MORPH=empty	,
que	que4	CONsub	MORPH=empty	que
ja	ja	ADVgen	DEGRE=-	ja
ne	ne1	ADVneg	MORPH=empty	ne
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=i	vos
ert	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s	ert
pardoné	pardoner	VERppe	NOMB.=s|GENRE=m|CAS=n	pardoné
.	.	PONfrt	MORPH=empty	.
"	"	PONfbl	MORPH=empty	"
Andemantre	endementre	ADVgen	NOMB.=s|CAS=r	Andemantre
que	que4	CONsub	NOMB.=s	que
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r	ce
avint	avenir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	avint
,	,	PONfbl	MORPH=empty	,
au	a3+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r	au
chevalier	chevalier	NOMcom	NOMB.=s|GENRE=m|CAS=r	chevalier
parole	parole	NOMcom	NOMB.=s|GENRE=f|CAS=r	parole
vint	venir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	vint
el	en1+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r	el
chief	chief1	NOMcom	NOMB.=s|GENRE=m|CAS=r	chief
qu'	que2	PROrel	NOMB.=s|CAS=r	qu
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	ot
eü	avoir	VERppe	NOMB.=s|GENRE=m|CAS=r	eü
mout	mout	ADVgen	DEGRE=-	mout
vain	vain	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	vain
,	,	PONfbl	MORPH=empty	,
et	et	CONcoo	MORPH=empty	et
dit	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s|CAS=r	dit
a	a3	PRE	MORPH=empty	a
monseignor	monseignor	NOMcom	NOMB.=s|GENRE=m|CAS=r	monseignor
Gauvain	Gauvain	NOMpro	NOMB.=s|GENRE=m|CAS=r	Gauvain
:	:	PONfbl	MORPH=empty	:
"	"	PONfbl	MORPH=empty	"
