,author,lang,le,il,et,de,que,ne,a,en,si,je,qui,son,vos,ce,tot,soi,un,par,cel,por,se,mout,mais,i,cant,come,car,tant,o,tu,mon,autre,plus,nos,nul,ja,cest,lor,pas,or,devant,tel,mie,on,nostre,ou,lors,vostre,sor,sans,la,puis,dont,apres,onque,aucun,ainz,ainsi,ci,ton,meisme,rien,quel,encore,coi,avant,fors,vers,chascun,entre,coment,jusque,trop,tost,avuec,non,donc,dedenz,assez,cui,contre,suen,ensemble,trestot,mieus,certes,sus,autresi,maint,maintenant,ariere,poi,des,atant,aussi,volentiers,encontre,desus,hors,pres,aincois,mien,plusor,parmi,nient,desoz,autrui,cantque,tantost,ui,selonc,laienz,ha,ca,iluec,outre,moins,e,tres,point,sovent,icel,desor,issi,voir,envers,neporcant,oil,soz,caienz,devers,adonc,entor,enz,enmi,endroit,gaire,dalez,mar,neis,derrier,jus,ez,demain,defors,ici,autrement,lez,tozjors,orendroit,amont,aval,tresque,environ,anuit,contreval,ainc,nenil,totevoies,atot,itant,auques,ades,autretel,autretant,matin,ier,ice,tuen,icest,piec,espoir,aillors,deci,contremont,combien,ambedos,rechief,autant,chies,estre,quelque,itel,encui,jadis,joste,pis,el,autel,iqui,ensement,ledit,hai,pardevant,es,sore,sis,sauf,ensus,meismement,sien,deca,desque,dela,nequedent,ai,sempre,ersoir,rechief_,que_que,lues,miemement,endementieres,dusque,jehui,enquenuit,dementieres,main,lasus,aucant,dejoste,quiconque,voire,naje,empres,avoi,prim,huimais,enjusque,ont,petitet,entreci,franchement,entresait,aussiment,encoste,quelconque,oan,orainz,diva,travers,buer,ambes,cil,chasque,entredeus,denz,demanois,lendemain,nun,partot,mi,enson,enteimes,endementre,aluec,ho,lonc,bas,manois,he_las,eluec,antan,sofisanment,sodainement,fi,ensorquetot,adens,autrefoiz,comfait,item,dementre,entretant,ore,moi,igaument,gote,nesun,deseur,rier,las,res,entre_tant,daerrainement,neporuec,assavoir,daerrain,premerain,excepte,idonc,sodain,viron,tempre,autresiment,endemain,ome,alors,vezci,sieue,tandis,seviaus,decoste,hu,com,jesque,ohi,lanque,trestost,pieca,enne,heu,durant,hui,entrementre,itot,parce,aie,foiz,ceci,helas,totesfoiz,encontreval,depuis,nen,poruec
ChrTr_Cliges_0-3000,ChrTr,NA,186,140,160,120,100,99,53,66,20,62,44,40,31,23,27,28,12,18,8,21,22,24,13,13,12,11,15,25,2,0,15,10,14,3,7,7,3,8,8,13,5,1,2,6,2,6,2,13,2,12,4,2,6,1,3,0,4,4,1,1,0,9,6,2,1,1,1,1,1,1,3,0,1,2,2,1,2,1,0,6,0,3,4,2,2,0,1,0,1,1,0,2,2,1,1,1,0,0,0,0,3,0,0,0,0,2,2,1,1,0,0,0,0,0,1,0,3,0,0,0,2,0,1,0,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,3,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChrTr_Cliges_3000-6000,ChrTr,NA,175,150,106,71,94,163,43,75,40,122,48,19,2,42,24,32,19,21,11,31,31,17,33,22,10,13,16,18,2,3,27,20,16,0,10,15,9,4,9,12,0,6,5,2,0,4,2,0,2,4,1,0,11,0,2,2,1,4,0,0,3,14,8,2,6,0,3,9,7,0,8,2,4,2,1,2,13,3,0,5,0,2,2,0,6,0,1,1,3,0,1,1,2,0,4,5,0,1,0,2,2,5,0,2,1,1,2,2,0,0,0,0,1,0,0,0,0,0,1,2,3,0,0,0,2,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,104,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
ChrTr_Cliges_6000-9000,ChrTr,NA,200,164,110,99,93,92,66,91,36,68,25,46,15,22,26,38,18,27,18,28,25,17,21,16,13,13,22,16,9,0,12,12,15,2,3,14,8,9,5,15,7,4,4,4,3,1,3,3,4,0,1,2,4,4,6,1,4,4,3,0,4,2,4,4,4,1,1,4,7,1,4,0,3,3,4,3,5,2,3,4,2,6,1,3,1,1,0,0,1,2,0,2,4,0,0,1,0,0,0,2,1,0,1,0,1,1,0,2,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,3,0,0,0,0,0,2,0,1,0,1,0,2,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,3,0,81,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ChrTr_Cliges_9000-12000,ChrTr,NA,231,184,134,94,112,84,55,68,38,2,33,30,4,21,21,65,24,27,29,18,20,27,25,19,15,7,26,18,8,0,4,13,13,6,11,5,5,24,7,7,7,10,3,2,1,7,3,1,10,4,5,0,3,5,1,0,11,5,1,0,1,3,5,1,0,0,5,6,3,0,1,1,4,2,7,0,0,4,3,2,1,1,2,4,1,0,3,1,0,2,0,2,1,0,2,5,0,0,0,3,3,0,0,2,0,2,0,2,0,0,0,1,0,1,1,2,0,0,0,1,0,0,0,0,2,0,2,0,0,0,2,0,3,1,1,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
ChrTr_Cliges_12000-15000,ChrTr,NA,188,174,99,108,115,117,75,84,33,27,31,51,23,20,31,41,27,17,28,19,19,25,25,17,17,8,14,17,1,13,7,14,7,0,11,13,9,21,3,5,1,3,7,2,0,4,2,5,9,5,3,0,4,1,1,0,5,2,1,1,0,13,3,0,3,0,5,3,5,4,1,5,2,3,4,0,0,2,2,3,2,10,2,4,2,0,2,1,0,1,0,1,2,0,1,1,2,0,0,1,4,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,7,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,2,0,0,0,1,0,0,0,2,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChrTr_Cliges_15000-18000,ChrTr,NA,175,184,122,88,118,127,76,69,46,16,46,57,5,22,26,43,34,27,29,23,29,20,33,16,6,13,12,20,1,14,4,11,18,0,9,12,10,11,6,9,5,5,5,7,0,4,1,0,1,4,0,0,4,4,3,0,2,6,2,2,1,3,2,1,1,0,2,6,7,2,3,2,0,0,6,4,0,0,2,4,2,6,3,5,2,0,0,1,1,1,0,3,1,0,2,1,0,0,1,1,2,0,0,0,2,1,0,3,0,0,0,0,0,0,1,0,3,0,0,1,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,1,3,0,0,0,89,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ChrTr_Cliges_18000-21000,ChrTr,NA,138,158,135,85,109,103,48,101,45,60,34,43,40,21,33,37,13,19,25,26,29,24,32,20,14,12,21,17,6,2,20,13,5,2,12,24,9,4,8,7,3,5,3,2,0,4,4,5,1,4,3,1,5,2,7,2,5,5,1,1,2,7,6,1,3,1,2,1,2,2,3,1,2,1,2,2,3,0,0,5,0,1,5,0,2,1,1,0,1,2,0,1,0,0,1,0,0,1,0,0,2,3,0,2,11,0,1,0,0,0,0,0,0,1,0,2,2,0,0,1,1,0,0,0,5,0,2,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
ChrTr_Cliges_21000-24000,ChrTr,NA,218,196,155,78,94,110,58,77,35,11,42,48,5,27,29,48,30,15,26,25,24,17,30,18,13,6,18,7,8,3,1,17,11,1,8,8,5,2,13,9,4,7,7,2,2,1,4,0,7,14,1,4,7,8,3,1,4,2,0,3,2,5,0,0,3,0,1,7,7,1,3,1,0,1,2,1,1,0,0,2,4,9,3,1,2,0,1,1,1,1,0,0,0,1,0,0,7,0,0,1,1,0,0,2,2,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,2,2,2,0,0,0,0,0,1,0,2,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,66,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ChrTr_Cliges_24000-27000,ChrTr,NA,128,182,131,74,117,149,76,79,22,72,25,45,28,28,34,29,17,20,11,26,31,21,28,28,17,17,22,15,3,12,5,9,13,0,11,17,11,5,6,7,4,5,6,2,0,1,1,6,6,9,2,0,4,3,5,1,5,2,2,0,1,6,7,0,4,0,2,5,3,1,1,1,6,3,4,0,3,0,2,6,0,4,1,3,2,0,2,1,2,1,0,3,2,1,4,1,0,0,0,0,4,3,1,0,5,2,1,2,2,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChrTr_Cliges_27000-30000,ChrTr,NA,204,158,136,99,90,117,69,58,44,24,49,39,5,16,24,45,22,16,30,21,17,12,35,21,12,10,15,13,6,0,11,12,22,7,18,8,10,1,5,8,5,7,5,8,0,3,2,0,13,9,6,1,5,2,5,2,9,8,3,0,3,3,3,2,6,0,1,4,6,3,1,1,0,9,3,0,6,1,3,4,1,11,1,4,2,0,1,0,1,3,1,0,0,1,1,0,3,0,0,2,3,9,2,0,2,0,1,4,0,2,0,0,1,0,0,0,0,2,1,3,0,1,0,0,3,0,0,0,0,0,6,0,0,0,1,1,2,1,0,1,2,3,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,1,0,93,0,1,0,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
