token	lemma	POS	morph	treated
CRESTIIENS	crestiien	NOMcom	NOMB.=s|GENRE=m|CAS=n	CRESTIIENS
se	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	se
veut	voloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	veut
entremetre	entremetre	VERinf	MORPH=empty	entremetre
,	,	PONfbl	MORPH=empty	,
Sans	sans	PRE	MORPH=empty	Sans
nient	nïent	PROind	NOMB.=s|GENRE=n|CAS=r	nient
oster	oster2	VERinf	MORPH=empty	oster
et	et	CONcoo	MORPH=empty	et
sans	sans	PRE	MORPH=empty	sans
nient	nïent	PROind	NOMB.=s|GENRE=n|CAS=r	nient
metre	metre2	VERinf	MORPH=empty	metre
,	,	PONfbl	MORPH=empty	,
De	de	PRE	MORPH=empty	De
conter	conter	VERinf	MORPH=empty	conter
un	un	DETndf	NOMB.=s|GENRE=m|CAS=r	un
conte	conte2	NOMcom	NOMB.=s|GENRE=m|CAS=r	conte
par	par	PRE	MORPH=empty	par
rime	Rimon	NOMcom	NOMB.=s|GENRE=f|CAS=r	rime
,	,	PONfbl	MORPH=empty	,
U	o3	CONcoo	MORPH=empty	U
consonant	consonant	NOMcom	NOMB.=s|GENRE=m|CAS=r	consonant
u	o3	CONcoo	MORPH=empty	u
lionime	lïon	NOMcom	NOMB.=s|GENRE=m|CAS=r	lionime
,	,	PONfbl	MORPH=empty	,
Ausi	aussi	ADVgen	DEGRE=-	Ausi
com	come1	CONsub	MORPH=empty	com
par	par	PRE	MORPH=empty	par
ci	ci	ADVgen	DEGRE=-	ci
le	il	PROper	PERS.=3|NOMB.=s|GENRE=n|CAS=r	le
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	me
taille	taillier1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	taille
;	;	PONfbl	MORPH=empty	;
Mais	mais1	CONcoo	MORPH=empty	Mais
que	que4	CONsub	MORPH=empty	que
par	par	PRE	MORPH=empty	par
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r	le
conte	conte1	NOMcom	NOMB.=s|GENRE=m|CAS=r	conte
s'	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	s
en	en2	PROadv	MORPH=empty	en
aille	aler	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s	aille
,	,	PONfbl	MORPH=empty	,
Ja	ja	ADVgen	DEGRE=-	Ja
autre	autre	DETind	NOMB.=s|GENRE=m|CAS=r	autre
conte	conte2	NOMcom	NOMB.=s|GENRE=m|CAS=r	conte
ne	ne1	ADVneg	MORPH=empty	ne
prendra	prendre	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s	prendra
,	,	PONfbl	MORPH=empty	,
La	le	DETdef	NOMB.=s|GENRE=f|CAS=r	La
plus	plus	ADVgen	DEGRE=-	plus
droite	droit	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	droite
voie	voie	NOMcom	NOMB.=s|GENRE=f|CAS=r	voie
tenra	tenir1	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s	tenra
Que	que4	CONsub	MORPH=empty	Que
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
onques	onque	ADVgen	PERS.=3|DEGRE=-	onques
